Recipe Title,Region,Country,Servings,Calories (KCal),Protein (g),Fat (g),More Info,primary_key
Vietnamese Stir-Fry,Southeast Asian,Vietnamese,6,1897.78,226.3,85.51,more info,574
Grilled Shrimp Rice Noodle Bowl,Southeast Asian,Vietnamese,2,440.63,6.04,41.07,more info,575
Nuoc Cham (Vietnamese Spicy Dipping Sauce),Southeast Asian,Vietnamese,10,258.94,5,0.24,more info,576
Vietnamese Caramelized Pork,Southeast Asian,Vietnamese,4,3739.39,153.43,226.66,more info,577
Vietnamese Beef And Lettuce Curry,Southeast Asian,Vietnamese,4,1367.2,97.79,87.23,more info,578
Vermicelli Noodle Bowl,Southeast Asian,Vietnamese,2,447.52,21.82,21.04,more info,579
Goi Cuon (Vietnamese Spring Roll with Pork and Prawns),Southeast Asian,Vietnamese,6,473.73,91.68,9.13,more info,580
Vietnamese Aromatic Lamb Chops,Southeast Asian,Vietnamese,5,369.06,2.36,27.19,more info,581
Dragon Fruit Shake,Southeast Asian,Vietnamese,2,451.96,7.15,22.37,more info,582
Vietnamese Chicken Salad,Southeast Asian,Vietnamese,4,664.7,15.57,51.71,more info,583
Vietnamese-Style Shrimp Soup,Southeast Asian,Vietnamese,6,178.84,1.98,14.5,more info,584
Vietnamese Beef Noodle Soup,Southeast Asian,Vietnamese,4,899.9,84.72,10.98,more info,585
Vietnamese Style Vegetarian Curry Soup,Southeast Asian,Vietnamese,8,2889.52,127.91,173.01,more info,586
Pho Ga Soup,Southeast Asian,Vietnamese,6,1816.09,195.44,101.15,more info,587
Vietnamese Pho Ga (Chicken),Southeast Asian,Vietnamese,8,-,-,-,more info,588
Minh-ai's Bitter Melon Soup,Southeast Asian,Vietnamese,3,893,35.23,80.06,more info,589
Vietnamese Chicken and Long-Grain Rice Congee,Southeast Asian,Vietnamese,4,4.1,0.3,0.07,more info,590
Day After Thanksgiving Turkey Pho,Southeast Asian,Vietnamese,4,86.56,5.55,1.57,more info,591
Vegetarian Pho (Vietnamese Noodle Soup),Southeast Asian,Vietnamese,6,698.72,27.47,30.92,more info,592
Authentic Pho,Southeast Asian,Vietnamese,4,2615.66,202.14,117.76,more info,593
Pho,Southeast Asian,Vietnamese,3,2927.15,447.23,99.98,more info,594
Beef Pho,Southeast Asian,Vietnamese,6,543.87,66.04,10.42,more info,595
Vietnamese Beef Pho,Southeast Asian,Vietnamese,6,831.01,154.01,9.56,more info,596
My Chicken Pho Recipe,Southeast Asian,Vietnamese,2,1572.19,149.85,65.67,more info,597
Crabmeat and Asparagus Soup,Southeast Asian,Vietnamese,6,401.33,46.81,22.24,more info,598
Chocolate-Orange Rice Pudding,Southeast Asian,Filipino,8,1360.88,43.54,44.68,more info,599
Champorado,Southeast Asian,Filipino,6,2660.54,32.01,121.34,more info,600
Maja Blanca Especiale (Corn and Coconut Cream Pudding),Southeast Asian,Filipino,12,3197.91,19.3,99.69,more info,601
Lipardo's Puto Seco,Southeast Asian,Filipino,12,1436.39,20.04,62.22,more info,602
Buko (Young Coconut) Pie,Southeast Asian,Filipino,6,2134.67,41.59,190.58,more info,603
Mocha Chiffon Cake,Southeast Asian,Filipino,12,1460.82,53.68,38.87,more info,604
Ube-Macapuno Cake,Southeast Asian,Filipino,12,5998.02,126.14,322.66,more info,605
Palitaw (Sweet Rice Cakes),Southeast Asian,Filipino,10,1075.1,8.89,46.14,more info,606
Macapuno Bars,Southeast Asian,Filipino,18,676.48,26.86,55.87,more info,607
Healthier Crema de Fruta,Southeast Asian,Filipino,10,2997.42,54.74,120.6,more info,608
Karioka Sweet Rice Balls,Southeast Asian,Filipino,5,5242.8,16.25,507.94,more info,609
Melon Ice Candy,Southeast Asian,Filipino,20,2411.97,23.48,89.22,more info,610
Maja Blanca Maiz (Corn Pudding),Southeast Asian,Filipino,10,2272.28,18.56,97.6,more info,611
Maja Blanca,Southeast Asian,Filipino,12,1769.47,12.11,114.83,more info,612
Cassava Cake,Southeast Asian,Filipino,10,970.58,20.79,95.29,more info,613
Barquillos (Wafer Rolls),Southeast Asian,Filipino,18,1117.41,28.56,57.71,more info,614
Buchi,Southeast Asian,Filipino,10,475.25,19.63,0.49,more info,615
Biko,Southeast Asian,Filipino,12,5712.25,58.98,89.85,more info,616
Mamon (Sponge Cakes),Southeast Asian,Filipino,16,2360.9,51.1,145.73,more info,617
Latik (Fried Coconut Milk Curd),Southeast Asian,Filipino,4,0,0,0,more info,618
Philippine Butter Cookies,Southeast Asian,Filipino,60,4154.83,62.8,129.69,more info,619
Maja Blanca (Coconut Pudding),Southeast Asian,Filipino,10,1299.81,7.6,64.44,more info,620
Puto,Southeast Asian,Filipino,18,2811.9,45.91,114.31,more info,621
Chicken Afritada (Filipino Stew),Southeast Asian,Filipino,6,273.94,4.83,14.41,more info,622
Pork Afritada,Southeast Asian,Filipino,10,7318,281.46,658.08,more info,623
Abalos-Style Hamburger Soup (Picadillo Filipino),Southeast Asian,Filipino,6,1027.45,94.37,58.39,more info,624
Caldereta (Filipino Beef and Chorizo Stew),Southeast Asian,Filipino,6,3522.2,292.81,213.83,more info,625
Sinigang na Baka,Southeast Asian,Filipino,6,855.75,99.14,31.67,more info,626
Caldereta (Filipino Beef Stew),Southeast Asian,Filipino,6,2375.71,99.13,81.86,more info,627
Lisa's Adobo,Southeast Asian,Filipino,8,2114.84,102.26,182.99,more info,628
Beef Nilaga,Southeast Asian,Filipino,5,5847.02,364.31,451.66,more info,629
Filipino Menudo (Pork and Liver Stew),Southeast Asian,Filipino,10,4028.45,153.95,135.03,more info,630
Papaya Soup,Southeast Asian,Filipino,4,318.79,3.21,28.76,more info,631
Sinigang na Isda sa Miso (Fish Stew with Miso),Southeast Asian,Filipino,4,1570.07,205.8,37.24,more info,632
Guinataan Sitaw and Kalabasa (String Beans and Squash Stew),Southeast Asian,Filipino,6,1510.34,65.93,116.72,more info,633
Corn Soup,Southeast Asian,Filipino,4,1503.93,103.06,72.18,more info,634
Prawns in Peanut Soup,Southeast Asian,Filipino,6,1710.79,227.67,64.13,more info,635
Kare Kare Pata (Oxtail Stew),Southeast Asian,Filipino,6,2671.46,437.34,70.29,more info,636
Filipino Oxtail Stew,Southeast Asian,Filipino,6,2307.13,128.69,175.88,more info,637
Mongo Guisado (Mung Bean Soup),Southeast Asian,Filipino,6,972.7,98.34,45.36,more info,638
Chicken Sotanghon,Southeast Asian,Filipino,10,1710.24,115.76,121.28,more info,639
Goat Stew,Southeast Asian,Filipino,4,1401.92,149.59,45.04,more info,640
Filipino-Style Congee (Lugaw),Southeast Asian,Filipino,4,3285.49,216.98,127.24,more info,641
Paksiw na Pata (Pig's Feet Stew),Southeast Asian,Filipino,5,1553.3,300.78,8.04,more info,642
Ham Hocks with Lima Beans,Southeast Asian,Filipino,5,404.8,20.11,2.39,more info,643
Fish Sinigang (Tilapia) - Filipino Sour Broth Dish,Southeast Asian,Filipino,4,267.07,47.95,1.76,more info,644
Pork Sinigang,Southeast Asian,Filipino,4,1036.54,31.72,19.52,more info,645
Purple Yam Jam,Southeast Asian,Filipino,8,1576.07,108.68,116.84,more info,646
Chinky's Puto Bread,Southeast Asian,Filipino,24,4015.07,39.8,222.08,more info,647
Melon Chiller,Southeast Asian,Filipino,10,1608.18,1.48,0.33,more info,648
Blue's Lumpia,Southeast Asian,Filipino,50,2854.4,162.44,222.39,more info,649
Mango Relish,Southeast Asian,Filipino,20,69.23,2.83,0.53,more info,650
Pandesal,Southeast Asian,Filipino,16,3689.53,93.03,81.34,more info,651
Hot Ube Pandesal (Filipino Purple Yam Bread Rolls),Southeast Asian,Filipino,24,2747.27,101.9,88.76,more info,652
Melon Heaven,Southeast Asian,Filipino,6,-,-,-,more info,653
Atsara (Papaya Relish),Southeast Asian,Filipino,10,869.32,1.19,0.3,more info,654
Pan De Sal II,Southeast Asian,Filipino,15,1627.82,39.97,74.32,more info,655
Pan De Sal I,Southeast Asian,Filipino,20,727.79,0,54.5,more info,656
Empanada Dough,Southeast Asian,Filipino,24,483.74,8.03,18.91,more info,657
Lumpia - Filipino Shrimp and Pork Egg Rolls,Southeast Asian,Filipino,75,1814.05,72.36,159.76,more info,658
Fruit Salad Abalos Style,Southeast Asian,Filipino,10,1128.24,16.84,88.89,more info,659
Lumpia (Shanghai version),Southeast Asian,Filipino,20,2908.63,161.81,230.62,more info,660
Bitter Melon and Brinjal (Eggplant) Relish,Southeast Asian,Filipino,32,893.78,2.72,0.43,more info,661
Pan de Sal - Filipino Bread Rolls,Southeast Asian,Filipino,20,2919.9,78.85,99.68,more info,662
Chinky's Bibingka,Southeast Asian,Filipino,12,4727.97,59.94,218.84,more info,663
Lumpia Mollica,Southeast Asian,Filipino,25,3709.64,129.29,341.96,more info,664
Filipino Chicken Salad,Southeast Asian,Filipino,12,2087.8,99.3,135.86,more info,665
Rumaki,Southeast Asian,Filipino,10,1340.57,99.94,77.92,more info,666
Buko (Young Coconut) Chiller,Southeast Asian,Filipino,2,48.76,0,0,more info,667
Lumpia,Southeast Asian,Filipino,10,456.98,11.93,28.61,more info,668
Garlic Rice,Southeast Asian,Filipino,4,2954.46,53.57,32.14,more info,669
Filipino Avocado Milkshake,Southeast Asian,Filipino,2,296.24,7.7,7.99,more info,670
Singkamas (Jicama) Salad,Southeast Asian,Filipino,10,1085.94,10.6,1.45,more info,671
Traci's Adobo Seasoning,Southeast Asian,Filipino,21,76.66,3.38,2.23,more info,672
Chinky's Mango Bread,Southeast Asian,Filipino,20,2893.06,17.35,174.77,more info,673
Siopao (Filipino Steamed Dumplings),Southeast Asian,Filipino,15,5209.65,180.46,220.39,more info,674
Meat and Potatoes Lumpia,Southeast Asian,Filipino,8,2570.42,110.55,230.92,more info,675
Leyley's Spicy Chicken Adobo Wings,Southeast Asian,Filipino,24,2756.76,250.09,175.73,more info,676
Coconut Sauce,Southeast Asian,Filipino,10,1663.58,8.5,85.78,more info,677
Chicken Adobo,Southeast Asian,Filipino,6,2172.44,456.13,11.88,more info,678
Filipino Beef Steak,Southeast Asian,Filipino,6,2587.91,365.12,104.54,more info,679
Embutido,Southeast Asian,Filipino,4,1419.11,101.29,77.34,more info,680
Dinengdeng,Southeast Asian,Filipino,6,292.45,23.77,3.07,more info,681
Roasted Pork Belly with Crispy Skin,Southeast Asian,Filipino,12,15647.84,291.2,1563.49,more info,682
Guinataan Chicken Adobo,Southeast Asian,Filipino,6,2798.3,419.49,96.53,more info,683
Pinakbet,Southeast Asian,Filipino,6,1189.8,104.97,65.82,more info,684
Barbecued Spareribs,Southeast Asian,Filipino,5,251.16,6.82,0.81,more info,685
Fried Tulingan (Mackerel),Southeast Asian,Filipino,4,931.43,84.62,62.96,more info,686
Squash and Coconut Milk Stew,Southeast Asian,Filipino,4,1693.15,101.47,115.26,more info,687
Duck Adobo,Southeast Asian,Filipino,6,549.04,63.92,19.37,more info,688
Filipino Lumpia,Southeast Asian,Filipino,6,1799.43,120.95,137.56,more info,689
Grilled Chicken Adobo,Southeast Asian,Filipino,8,6241.85,162.25,603.36,more info,690
Bitter Melon Stir-Fry,Southeast Asian,Filipino,5,966.36,92.74,57.19,more info,691
Pork and Chicken Adobo,Southeast Asian,Filipino,4,1682.35,235.98,69.27,more info,692
Lolah's Chicken Adobo,Southeast Asian,Filipino,8,6425.69,141.71,642.7,more info,693
Chicken Arroz Caldo (Chicken Rice Porridge),Southeast Asian,Filipino,5,3382.31,253.67,173.46,more info,694
Bopis,Southeast Asian,Filipino,10,1476.17,83.83,107.35,more info,695
Chicken Adobo I,Southeast Asian,Filipino,5,354.29,6.02,30.36,more info,696
Savory Mussels,Southeast Asian,Filipino,4,1505.94,161.42,58.98,more info,697
Beef Asado,Southeast Asian,Filipino,6,1057.13,93.07,61.49,more info,698
Chicken with Chicharo (Snow Peas),Southeast Asian,Filipino,6,2679.78,262.39,151.43,more info,699
Chicken Adobo II,Southeast Asian,Filipino,6,276.93,5.38,27.37,more info,700
Slow Cooker Adobo Chicken with Bok Choy,Southeast Asian,Filipino,4,16222.04,360.42,1605.02,more info,701
Salmon Sarciado,Southeast Asian,Filipino,2,1392.46,191.87,51.17,more info,702
Lumpia Rolls,Southeast Asian,Filipino,40,5322.34,308.43,434.49,more info,703
Ginataang Manok (Chicken Cooked in Coconut Milk),Southeast Asian,Filipino,6,2064.85,17.35,213.92,more info,704
Baked Salmon,Southeast Asian,Filipino,5,336.49,12.66,15.39,more info,705
Corned Beef Hash (Abalos style),Southeast Asian,Filipino,4,239.32,4.48,14.26,more info,706
Sati Babi,Southeast Asian,Filipino,8,1379.71,278.81,11.86,more info,707
Chicken Adobo with Noodles Filipino-Mexican Fusion,Southeast Asian,Filipino,4,172.04,9.77,3.43,more info,708
Adobo Chicken with Ginger,Southeast Asian,Filipino,6,109.3,10.59,0.81,more info,709
Crab Omelet,Southeast Asian,Filipino,6,654.79,43.43,43.02,more info,710
Bringhe,Southeast Asian,Filipino,10,3233.62,239.7,165.7,more info,711
Barbecued Pork Kebabs,Southeast Asian,Filipino,10,1001.27,23.71,1.76,more info,712
Pochero,Southeast Asian,Filipino,6,5962.11,368.94,350.24,more info,713
Philippine Longanisa de Eugenio (Sweet Sausage),Southeast Asian,Filipino,12,4230.85,216.71,320.54,more info,714
Embutido (Filipino Meatloaf),Southeast Asian,Filipino,8,2826.01,116.34,253.14,more info,715
Adobong Pusit (Squid Adobo),Southeast Asian,Filipino,5,1284.68,163.42,41.72,more info,716
Lazy Longanisa (Filipino-Style Breakfast Sausage),Southeast Asian,Filipino,4,950.77,91.19,15.95,more info,717
Slow Cooker Chicken Afritad,Southeast Asian,Filipino,6,2911.44,150.34,116.34,more info,718
Clams in Oyster Sauce,Southeast Asian,Filipino,4,461.56,25.07,28.74,more info,719
Pork and Shrimp Pancit,Southeast Asian,Filipino,4,690.14,5.37,69.23,more info,720
Chicken Tinola,Southeast Asian,Filipino,4,1528.63,304.28,14.01,more info,721
Filipino Beef Stir-Fry,Southeast Asian,Filipino,4,1959.37,192.66,97.4,more info,722
Quick and Easy Pancit,Southeast Asian,Filipino,6,362.75,12.38,6.35,more info,723
Authentic Chicken Adobo,Southeast Asian,Filipino,8,2679.1,506.02,54.17,more info,724
Adobo Twist,Southeast Asian,Filipino,8,5201.72,102.09,509.35,more info,725
Salmon Stew (Abalos Style),Southeast Asian,Filipino,4,243.52,4.79,14.16,more info,726
Empanada Pork Filling,Southeast Asian,Filipino,24,2017.15,65.23,186.26,more info,727
Guinataan Hito (Catfish),Southeast Asian,Filipino,4,2514.81,369.42,95.08,more info,728
Filipino Spaghetti,Southeast Asian,Filipino,12,3663.07,248.5,238.01,more info,729
Filipino Ribs,Southeast Asian,Filipino,11,7894.4,431.62,651.12,more info,730
Filippino Lechon Kawali,Southeast Asian,Filipino,4,3540.76,64.24,360.76,more info,731
Chicken Binakol,Southeast Asian,Filipino,4,318.78,3.29,27.42,more info,732
Fried Rice (Sinangag),Southeast Asian,Filipino,4,3159.66,85.46,37.96,more info,733
Salpicao Jalisco,Southeast Asian,Filipino,10,2733.6,276.08,172.85,more info,734
Grandma Nena's Lumpia and Pancit,Southeast Asian,Filipino,10,1146.42,199.12,11.34,more info,735
Party Pancit,Southeast Asian,Filipino,8,859.6,128.65,26.79,more info,736
Filipino Pork Adobo,Southeast Asian,Filipino,6,4600.88,187.57,400.26,more info,737
Chicken Teriyaki,Southeast Asian,Filipino,4,12460.48,540.76,1038.14,more info,738
Pancit,Southeast Asian,Filipino,4,1160.61,143.6,47.31,more info,739
Malaysian Mango Chicken Curry,Southeast Asian,Malaysian,2,666.52,57.95,22.09,more info,740
Chicken with Black Beans,Southeast Asian,Malaysian,6,1601.77,135.2,84.77,more info,741
Satay Sauce,Southeast Asian,Malaysian,12,1624.19,39.66,150.23,more info,742
Devil Curry,Southeast Asian,Malaysian,6,3086.44,212.86,128.06,more info,743
Rendang Gaging (Beef Stew),Southeast Asian,Malaysian,8,1806.11,188.07,104.45,more info,744
Malaysian Chicken Satay,Southeast Asian,Malaysian,60,3922.09,432.53,191.84,more info,745
Spicy Tomato Chicken (Ayam Masak Merah),Southeast Asian,Malaysian,4,333.34,11.49,11.41,more info,746
Malaysian Nasi Lemak,Southeast Asian,Malaysian,8,4849.14,88.87,437.3,more info,747
Azalina's Mint Chicken Curry,Southeast Asian,Malaysian,8,4352.52,222.98,274.28,more info,748
Durian Puree Cheesecake,Southeast Asian,Malaysian,8,1475.68,40.41,132.3,more info,749
Indonesian Soy Sauce (Kecap Manis Sedang),Southeast Asian,Malaysian,12,647.43,14.01,0.96,more info,750
Simple Malaysian Fried Chicken,Southeast Asian,Malaysian,4,1044.07,3.91,111.03,more info,751
Sherry Chicken Curry,Southeast Asian,Malaysian,4,1944.17,41.92,156.63,more info,752
Spicy Noodles - Malay Style,Southeast Asian,Malaysian,4,539.64,15.24,46.22,more info,753
Singapore Noodles,Southeast Asian,Malaysian,6,1757.45,145.34,105.18,more info,754
Vegetarian Carrot Cake,Southeast Asian,Malaysian,10,3770.16,35.55,269.45,more info,755
Malaysian Lady Fingers (Okra),Southeast Asian,Malaysian,4,3370.12,619.09,59.59,more info,756
Malaysian Chicken Curry,Southeast Asian,Malaysian,8,9919.13,183.11,910.64,more info,757
Chicken Curry III,Southeast Asian,Malaysian,8,1290.51,29.1,104.84,more info,758
Malaysian Tomato Rice,Southeast Asian,Malaysian,16,1119.65,193.11,6.26,more info,759
Malaysian Barbecue Chicken Wings,Southeast Asian,Malaysian,2,10589.6,960.34,713.56,more info,760
Screw Pine Cake,Southeast Asian,Malaysian,24,6739.47,181.01,511.21,more info,761
Malaysian Quinoa (Vegetarian),Southeast Asian,Malaysian,2,153.4,4.74,13.36,more info,762
Malaysian Beef Rendang,Southeast Asian,Malaysian,6,2320.35,112.73,168.93,more info,763
Cucur Udang,Southeast Asian,Malaysian,10,1895.16,0.44,218.04,more info,764
Chicken Curry Puffs,Southeast Asian,Malaysian,9,1132.04,78.23,75,more info,765
Nasi Lemak (Malaysia),Southeast Asian,Malaysian,4,3195.47,141,102.59,more info,766
Mee Goreng,Southeast Asian,Malaysian,4,1625.09,128.84,86.17,more info,767
Sambal Belacan,Southeast Asian,Malaysian,6,10,0.46,0.11,more info,768
Traditional Cured Fish (Umai),Southeast Asian,Malaysian,4,993.09,182.25,14.14,more info,769
Pumpkin Kaya,Southeast Asian,Malaysian,40,1233.68,13.74,83.72,more info,770
Dadih,Southeast Asian,Malaysian,4,491.18,15.37,15.95,more info,771
Malaysian Red Curry Thighs,Southeast Asian,Malaysian,8,17373.55,364.27,1734.35,more info,772
Grandmum's Fish Ball Soup,Southeast Asian,Malaysian,6,2289.02,307.74,62.41,more info,773
Mild Coconut Tofu Curry,Southeast Asian,Malaysian,4,2338.2,123.33,183.44,more info,774
Chicken Curry V,Southeast Asian,Malaysian,4,1787.06,273.48,63.35,more info,775
Sambal Sauce,Southeast Asian,Malaysian,16,429.64,3,27.78,more info,776
Fried Rice with Marmite®,Southeast Asian,Malaysian,2,1725.89,85.14,73.93,more info,777
Nutmeg Tea Cookies (Kue Kering),Southeast Asian,Indonesian,30 cookies,1983.72,46.7,113.82,more info,778
INDONESIAN FOOD RECIPES : SOTO KUDUS,Southeast Asian,Indonesian,3 6,430.52,22.8,15.72,more info,779
Kaya (Coconut Egg Custard),Southeast Asian,Indonesian,8,2010.48,29.73,118.3,more info,780
Nasi Kuning,Southeast Asian,Indonesian,2 cups,964.31,16.98,34.62,more info,781
Beef Rendang,Southeast Asian,Indonesian,6,2530.92,153.16,99.69,more info,782
Telo ( Surinam-Indonesian),Southeast Asian,Indonesian,4,-,-,-,more info,783
Indonesian Carrot Soup,Southeast Asian,Indonesian,10-12 cups,2296.12,25.85,215.94,more info,784
Jakarta Delight,Southeast Asian,Indonesian,6,1514.37,17.81,17.04,more info,785
Sweet Mung Bean Soup,Southeast Asian,Indonesian,5,82897.56,833.96,8583.92,more info,786
Lapis Legit (Thousands Layer Cake),Southeast Asian,Indonesian,1 9-inch square pan,34396.9,1127.79,2877.05,more info,787
Indonesia Inspired Salad Dressing,Southeast Asian,Indonesian,4,637.82,5.71,67.14,more info,788
"""Indonesian"" Chocolate Chip Cookies",Southeast Asian,Indonesian,24 cookies,2035.29,18.03,115.53,more info,789
Indonesian Style Fried Noodle,Southeast Asian,Indonesian,4,1329.25,43.47,38.61,more info,790
Indonesian Baked Turmeric Chicken,Southeast Asian,Indonesian,1 chicken,475.18,8.3,28.09,more info,791
Indonesian Noodles,Southeast Asian,Indonesian,4,44.57,6.01,0.31,more info,792
Indonesian Sweet Soy Sauce (Kecap Manis),Southeast Asian,Indonesian,1 1/3 cups,1007.47,0,0,more info,793
Indonesian Bahmi Goreng,Southeast Asian,Indonesian,6,429077.46,15874.71,39803.44,more info,794
Indonesian Peanut Roll-Ups,Southeast Asian,Indonesian,2,1158.81,28.33,42.64,more info,795
Pineapple or Apple Coconut Curry,Southeast Asian,Indonesian,4-8,835.6,9.14,72.2,more info,796
Indonesian Perkedel,Southeast Asian,Indonesian,20 patties,165589.72,31462.83,3958.17,more info,797
Sweet flavored sate (Sate Manis),Southeast Asian,Indonesian,12 Skewers,6300.17,205.28,63.36,more info,798
Indonesian-Style Grilled Eggplant With Spicy Peanut Sauce,Southeast Asian,Indonesian,4,432.39,14.5,27.23,more info,799
Indonesian Satay on the BBQ,Southeast Asian,Indonesian,4,4173.96,410.52,260.77,more info,800
Sri Wasano's Infamous Indonesian Rice Salad,Southeast Asian,Indonesian,4-6,3567.24,105.73,177.08,more info,801
Indonesian Sweet and Sour Tofu With Vegetables,Southeast Asian,Indonesian,4-6,720.39,14.84,33.13,more info,802
INDONESIAN FOOD RECIPES : SOTO BANDUNG,Southeast Asian,Indonesian,6 7,355379.41,47163.24,16743.68,more info,803
Vegetarian Nasi Goreng (Fried Rice),Southeast Asian,Indonesian,6,1721.24,64.78,55.35,more info,804
Indonesian Sweet Martabak,Southeast Asian,Indonesian,2-4,1191.59,35.36,58.21,more info,805
Indonesian Vegetable Salad With Peanut Sauce (Gado-Gado),Southeast Asian,Indonesian,10,366523.9,11308.8,32419.83,more info,806
Spice Island Smoothie,Southeast Asian,Indonesian,1,138.17,4.71,3.02,more info,807
My Version of Nasi Goreng (Indonesian Fried Rice),Southeast Asian,Indonesian,4-5,13.41,0.57,0.04,more info,808
DAGING BUMBU BALI - Indonesian meat-dish,Southeast Asian,Indonesian,4,1107.94,93.13,70.52,more info,809
Indonesian Rice Salad,Southeast Asian,Indonesian,4-6,4349.81,79.59,182.91,more info,810
Smoor (Indonesian Chicken and Rice),Southeast Asian,Indonesian,4,132.25,3.66,0.8,more info,811
Bami Goreng (Indonesian Version of Lo Mein),Southeast Asian,Indonesian,6,2107.6,283.05,87,more info,812
Serabi,Southeast Asian,Indonesian,10,720739.18,7716.73,54624.55,more info,813
Indonesian Banana Fritters(Pisang Goreng),Southeast Asian,Indonesian,2,1595.13,45.82,27.66,more info,814
Indonesian Chicken and Rice,Southeast Asian,Indonesian,1,2870.68,63.52,92.76,more info,815
Green Beans with Peanut,Southeast Asian,Indonesian,6-8,812.27,36.99,66.75,more info,816
Lime Fizz,Southeast Asian,Indonesian,1,78.24,0.19,0.05,more info,817
"Eggplant Stew so Great, You'll Clean Your Plate!",Southeast Asian,Indonesian,4,512.49,1.62,56.19,more info,818
Debbie's Indonesian Lemper,Southeast Asian,Indonesian,6,5821.73,155.02,153.78,more info,819
Krengsengan Daging,Southeast Asian,Indonesian,3-4,266283.31,52318.81,6137.09,more info,820
Broiled Balanese Chicken,Southeast Asian,Indonesian,8,611.44,4.99,51.49,more info,821
Pork Spareribs With Preserved Vegetables,Southeast Asian,Indonesian,4,2118.06,105.19,186.32,more info,822
Juice Alpokat (indonesian Avocado Drink),Southeast Asian,Indonesian,2,591.05,9.36,18.67,more info,823
Indonesian Barbecue Sauce,Southeast Asian,Indonesian,2 cups,1059.15,21.24,35.14,more info,824
Cucumber Salad (Acar Ketimun),Southeast Asian,Indonesian,4,231.9,3,13.38,more info,825
Bali Yummy,Southeast Asian,Indonesian,4,130785.85,3924.86,4450.96,more info,826
Tamarind Barbecue Sauce,Southeast Asian,Indonesian,1 cup,158.53,2.63,14.21,more info,827
Urap,Southeast Asian,Indonesian,6,12510.49,411.56,65.89,more info,828
Lemper Ayam (Sticky Rice With Chicken Filling),Southeast Asian,Indonesian,20,471901.91,26413.38,39126.57,more info,829
Jemput Jemput (Indonesian Banana Fritters),Southeast Asian,Indonesian,18 fritters,778.84,7.71,2.33,more info,830
Sambal Oelek - Condiment,Southeast Asian,Indonesian,2 Jars,2428.78,0,0,more info,831
Ketjap Manis,Southeast Asian,Indonesian,1 1/4 cup,744.1,20.94,1.46,more info,832
South China Morning Post 1963 - Authentic Chicken Satay Skewers,Southeast Asian,Indonesian,4,4036.28,202.96,319.9,more info,833
Balinese Sambal,Southeast Asian,Indonesian,4,349.38,12.06,0.49,more info,834
Opor Ayam,Southeast Asian,Indonesian,8,320173.32,3713.61,33447.14,more info,835
Banana Citrus Cake With Orange Syrup,Southeast Asian,Indonesian,1 cake,16856.16,523.74,1352.38,more info,836
Atjar Ketimun (Cucumbers in Turmeric),Southeast Asian,Indonesian,8-10,868.73,11.14,55.09,more info,837
Fresh and Easy Indonesian Gado Gado Salad,Southeast Asian,Indonesian,4,801,45.37,52.1,more info,838
Gado Gado: Indonesian Salad,Southeast Asian,Indonesian,6,1118.96,33.48,43.66,more info,839
Banana Orange Smoothie,Southeast Asian,Indonesian,1-2,311.85,4.18,1.23,more info,840
Banana Fritters,Southeast Asian,Indonesian,1 batch of fritters,531.28,5.73,21.84,more info,841
Otak-Otak Special Food of Riau Islands,Southeast Asian,Indonesian,30 coconut leaves,87488.33,1514.25,361.61,more info,842
Sweet and Hot Tempeh,Southeast Asian,Indonesian,4,99754.09,5514.47,8108.58,more info,843
Soda Gembira (Happy Soda),Southeast Asian,Indonesian,1,387.34,5.25,25.64,more info,844
Clam Satay (Ashmore and Cartier Islands),Southeast Asian,Indonesian,4,878.08,70.85,4.13,more info,845
Indonesian Coconut Rice,Southeast Asian,Indonesian,4,3123.1,57.97,80.42,more info,846
Fried Chilli Sambal,Southeast Asian,Indonesian,1 cup,462.72,1.72,40.74,more info,847
Nasi Kuning - Festive Yellow Rice. Indonisian Rice With Pandan..,Southeast Asian,Indonesian,3-4,552,5.49,57.21,more info,848
Indonesian Yellow Rice,Southeast Asian,Indonesian,6,598.78,12.58,27.87,more info,849
Gulai Bagar (Western Sumatran Curry),Southeast Asian,Indonesian,6-8,15385.47,269.71,1577.36,more info,850
Coconut Curd | Kaya(Singapore),Southeast Asian,Indonesian,1 small jar,1596.29,16.32,99.31,more info,851
Gado Gado With Sambal Kacang (Spicy Peanut Sauce),Southeast Asian,Indonesian,6,3109.45,107.97,155.34,more info,852
Indonesian Chicken Soup (Bihuhnsuppe),Southeast Asian,Indonesian,4,121414.96,14566.88,6360.38,more info,853
Achar (Indonesian Quick Pickles),Southeast Asian,Indonesian,6-8,188.91,1.86,0.42,more info,854
Indonesian Meatballs,Southeast Asian,Indonesian,6-8,2245.37,201.03,143.93,more info,855
Rujak Indonesian Fruit Salad & Tangy Peanut Citrus Sauce,Southeast Asian,Indonesian,6,1253.51,28.31,37.52,more info,856
Mix Madness Indonesian Vegetables,Southeast Asian,Indonesian,2,83201.57,3804.81,7191.35,more info,857
ORIGINAL DURIAN PANCAKE RECIPE,Southeast Asian,Indonesian,4,172008.84,19712.04,8528.17,more info,858
Exotic Chicken Breasts,Southeast Asian,Indonesian,8,6465.25,759.7,336.76,more info,859
Indonesian Sesame Noodles,Southeast Asian,Indonesian,4,842.33,64.4,47.83,more info,860
Bubur Sum-Sum (Indonesian Rice Pudding),Southeast Asian,Indonesian,5,359227.5,3580.27,37192.78,more info,861
