Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g),recipe_key
red chile pepper,15,,,18.75,4.12,0.87,0.2,766
ginger,1,piece,minced,1.76,0.39,0.04,0.01,766
shrimp paste,1,tablespoon,,-,-,-,-,766
vegetable oil,1,tablespoon,,117.23,0,0,13.6,766
white sugar,1,tablespoon,,48.76,12.59,0,0,766
tamarind juice,1/2,cup,,71.53,18.48,0.11,0.15,766
salt,to taste,,,-,-,-,-,766
onion,1,,sliced,64,14.94,1.76,0.16,766
shrimp,1,pound,peeled deveined,385.33,0,91.12,2.31,766
vegetable oil,2,tablespoons,,234.46,0,0,27.2,767
red onion,2,,chopped,128,29.88,3.52,0.32,767
,1,,cut,-,-,-,-,767
soy sauce,2,tablespoons,,16.96,1.57,2.6,0.18,767
water,1,cup,,0,0,0,0,767
chicken breast,1,,skinless boneless cut,780.17,0,94.57,41.95,767
tomato,2,,cut,80.41,17.37,3.93,0.89,767
red chile pepper,1,,chopped,-,-,-,-,767
pea,1/2,cup,,20.58,3.69,1.37,0.09,767
carrot,1/2,cup,diced,26.24,6.13,0.59,0.15,767
corn kernel,1/2,cup,,92.35,18.23,2.55,1,767
tomato sauce,1/2,cup,,-,-,-,-,767
chili sauce,2,tablespoons,,31.39,6.75,0.85,0.1,767
egg,3,,beaten,214.5,1.08,18.84,14.26,767
egg noodle,1,package,cut,-,-,-,-,767
belacan,1,tablespoon,,-,-,-,-,768
red chile pepper,8,,sliced,10,2.2,0.46,0.11,768
salt,to taste,,,-,-,-,-,768
kasturi lime,2,halved,,-,-,-,-,768
yellow onion,1,,chopped,114.84,6.83,0.82,9.39,769
red onion,1,,chopped,64,14.94,1.76,0.16,769
ginger root,1,tablespoon,minced,4.8,1.06,0.1,0.04,769
red chile pepper,1,,chopped,806.93,0,179.52,4.53,769
lime zest,1,tablespoon,grated,806.93,0,179.52,4.53,769
lime,2,,juiced,2.52,0.84,0.04,0,769
red snapper fillet,2,,skinned cut,806.93,0,179.52,4.53,769
salt,to taste,,,-,-,-,-,769
pumpkin,4 1/4,cups,cubed,128.18,32.04,4.93,0.49,770
coconut cream,1,cup,unsweetened,792,15.96,8.71,83.23,770
brown sugar,3/8,cup,,313.5,80.92,0.09,0,770
young pandan leaf,8,,,-,-,-,-,770
milk,2,cups,,297.68,23.32,15.37,15.95,771
water,2,cups,,0,0,0,0,771
white sugar,1/4,cup,,193.5,49.99,0,0,771
agar powder,3/8,teaspoon,,-,-,-,-,771
strawberry extract,3/4,teaspoon,,-,-,-,-,771
red food coloring,2,drops,,-,-,-,-,771
green onion,6,,chopped,115.02,24.45,4.13,2,772
ginger,1,piece,peeled,-,-,-,-,772
garlic,4,cloves,peeled,17.88,3.96,0.76,0.06,772
grapeseed oil,3,tablespoons,,360.67,0,0,40.8,772
skin chicken thigh,8,,bone-in,15945.6,28.62,347.17,1602.89,772
salt,to taste,,,-,-,-,-,772
curry powder,3,tablespoons,,61.42,10.55,2.7,2.64,772
red curry paste,1,tablespoon,,-,-,-,-,772
garam masala,1 1/2,teaspoons,,-,-,-,-,772
chinese five spice powder,1 1/2,teaspoons,,-,-,-,-,772
coconut milk,1,can,,827.58,19.93,8.23,85.78,772
fish sauce,1,tablespoon,,6.3,0.65,0.91,0,772
white sugar,1 1/2,teaspoons,divided,24.38,6.29,0,0,772
sriracha sauce,1,tablespoon,,14.69,2.95,0.34,0.16,772
vegetable oil,1,tablespoon,,117.23,0,0,13.6,773
red onion,2,,chopped,128,29.88,3.52,0.32,773
garlic,5,cloves,sliced,22.35,4.95,0.95,0.07,773
ginger root,1/2,inch,sliced,-,-,-,-,773
chinese cabbage choy,1/2,teaspoon,pickled,756.5,0,168.3,4.25,773
chicken breast,9,ounces,boneless cubed,438.85,0,53.19,23.6,773
shrimp,11,ounces,deveined,221.28,2.83,42.41,3.14,773
fish ball,30,,,756.5,0,168.3,4.25,773
lotus root,4,ounces,sliced,83.91,19.53,2.94,0.11,773
white pepper,,,ground,-,-,-,-,773
chicken stock,6,cups,,518.4,50.83,36.28,17.28,773
baby choy sum,5,ounces,separated,756.5,0,168.3,4.25,773
baby bok choy,5,ounces,separated,756.5,0,168.3,4.25,773
red chile pepper,2,,sliced,2.5,0.55,0.11,0.02,773
salt,to taste,,,-,-,-,-,773
ginger root,4,slices,,7.04,1.56,0.16,0.06,774
garlic,4,cloves,minced,17.88,3.96,0.76,0.06,774
cashew,1/4,cup,,-,-,-,-,774
lemon grass,2,,chopped,2.76,0.7,0.05,0.01,774
onion,2,,sliced,128,29.88,3.52,0.32,774
olive oil,3,tablespoons,,358.02,0,0,40.5,774
red pepper flake,1,dash,crushed,-,-,-,-,774
curry powder,2,tablespoons,,40.95,7.03,1.8,1.76,774
tofu,2 1/2,cups,cubed firm,907.2,17.51,108.8,54.93,774
coconut milk,1,can,,827.58,19.93,8.23,85.78,774
water,14,fluid ounces,,-,-,-,-,774
potato,2,,peeled cubed,-,-,-,-,774
salt,2,teaspoons,,-,-,-,-,774
white sugar,1,tablespoon,,48.76,12.59,0,0,774
olive oil,2,tablespoons,,238.68,0,0,27,775
cinnamon,1,piece,,-,-,-,-,775
cardamom pod,1,,,1210.4,0,269.28,6.8,775
anise pod,1/2,star,,1210.4,0,269.28,6.8,775
clove,3,,,17.26,4.12,0.37,0.81,775
curry leaf,2,teaspoons,chopped,1210.4,0,269.28,6.8,775
shallot,1,tablespoon,chopped,7.2,1.68,0.25,0.01,775
garlic,4,cloves,chopped,17.88,3.96,0.76,0.06,775
ginger root,1,slice,chopped,1.76,0.39,0.04,0.01,775
curry paste,4,tablespoons,,1210.4,0,269.28,6.8,775
coconut milk,1/2,cup,,276,6.64,2.74,28.6,775
water,2,cups,,0,0,0,0,775
chicken breast half,3,pounds,skinless boneless cut,1210.4,0,269.28,6.8,775
tamarind juice,2,tablespoons,,17.88,4.62,0.02,0.03,775
salt,to taste,,,-,-,-,-,775
serrano chile,1,cup,chopped,-,-,-,-,776
white sugar,2,tablespoons,,97.52,25.19,0,0,776
salt,2,tablespoons,,-,-,-,-,776
belacan shrimp paste,1,tablespoon,,-,-,-,-,776
tomato,1,,chopped,40.2,8.68,1.96,0.44,776
onion,1/2,,chopped,32,7.47,0.88,0.08,776
bulb garlic,1,,peeled crushed,-,-,-,-,776
lime juice,2,tablespoons,,7.56,2.54,0.12,0.02,776
vegetable oil,2,tablespoons,,234.46,0,0,27.2,776
lemongrass,2,,bruised,-,-,-,-,776
curry leaf,2,,,-,-,-,-,776
galangal,1,piece,sliced,-,-,-,-,776
tamarind juice,2,tablespoons,,17.88,4.62,0.02,0.03,776
white rice,1,cup,uncooked,675.25,147.9,13.19,1.22,777
water,2,cups,,0,0,0,0,777
chicken,1/2,pound,ground,482.8,0.29,41.54,33.61,777
soy sauce,1/2,tablespoon,colored,4.24,0.39,0.65,0.04,777
white pepper,,,ground,0,0,0,0,777
vegetable oil,1,tablespoon,,117.23,0,0,13.6,777
garlic,1,clove,minced,4.47,0.99,0.19,0.01,777
bok choy,2,,chopped,298.9,22.83,17,15.92,777
egg,2,,beaten,143,0.72,12.56,9.51,777
soy sauce,2,tablespoons,,4.24,0.39,0.65,0.04,777
white pepper,to taste,,,0,0,0,0,777
butter,8,ounces,unsalted,1292.76,59.39,40.39,108.86,778
sugar,3/4,cup,,604.48,151.19,0,0,778
vanilla,1,teaspoon,,12.09,0.53,0,0,778
egg,1,,,71.5,0.36,6.28,4.75,778
purpose flour,2 1/2,cups,sifted,-,-,-,-,778
salt,1,pinch,,-,-,-,-,778
nutmeg,1/4,teaspoon,,2.88,0.27,0.03,0.19,778
chicken meat,1,,,-,-,-,-,779
water,1500,,,0,0,0,0,779
celery,1,stalk,,10.24,1.9,0.44,0.1,779
egg,3,,boiled cut,214.5,1.08,18.84,14.26,779
bean sprout,100,,,-,-,-,-,779
soy sauce,2,tablespoons,sweet,16.96,1.57,2.6,0.18,779
cooking oil,3,tablespoons,,-,-,-,-,779
garlic clove,5,,,-,-,-,-,779
water,1,tablespoon,,0,0,0,0,779
sugar,3,tablespoons,,165.18,41.31,0,0,779
salt,2,tablespoons,,-,-,-,-,779
lemongrass,2,stalks,,-,-,-,-,779
garlic clove,6,,,-,-,-,-,779
cumin,1/2,teaspoon,,3.93,0.46,0.18,0.23,779
coriander,1,tablespoon,ground,14.9,2.74,0.61,0.88,779
ginger,3,,,4.8,1.06,0.1,0.04,779
coconut cream,1 1/4,1/4,,990,19.95,10.89,104.04,780
egg,3,,,214.5,1.08,18.84,14.26,780
sugar,1,cup,,805.98,201.59,0,0,780
pandan leaf,2 -3,,knotted,-,-,-,-,780
rice,1,cup,,678.95,141.06,13.94,5.92,781
water,2,cups,,0,0,0,0,781
coconut milk,1/2,cup,,276,6.64,2.74,28.6,781
lemongrass,2,inches,,-,-,-,-,781
bay leaf,2,,,-,-,-,-,781
turmeric,1,teaspoon,,9.36,2.01,0.29,0.09,781
salt,1/2,teaspoon,,-,-,-,-,781
shallot,10,,,1152,268.8,40,1.6,782
garlic clove,2,,,-,-,-,-,782
ginger,1 1/2,1/2,,2.4,0.53,0.05,0.02,782
red chilies,5,,,-,-,-,-,782
candle nut,2,,,-,-,-,-,782
beef,1,,trimmed cut,530.4,0,104.58,12.19,782
coconut milk,1,can,,827.58,19.93,8.23,85.78,782
turmeric,1,,,9.36,2.01,0.29,0.09,782
kaffir lime leaf,2,,,-,-,-,-,782
lemongrass,1,,crushed,-,-,-,-,782
galangal,2,,,-,-,-,-,782
cooking oil,3,tablespoons,,-,-,-,-,782
salt,1/2,teaspoon,,-,-,-,-,782
sugar,1/2,teaspoon,,9.17,2.29,0,0,782
cassava,4,,,-,-,-,-,783
garlic clove,2,,,-,-,-,-,783
salt,1,pinch,,-,-,-,-,783
oil,,,,-,-,-,-,783
olive oil,3,tablespoons,,358.02,0,0,40.5,784
garlic clove,4,,peeled,-,-,-,-,784
ginger,1,tablespoon,minced,4.8,1.06,0.1,0.04,784
spanish onion,1,,peeled diced,-,-,-,-,784
celery rib,2,,sliced,-,-,-,-,784
carrot,3,,peeled sliced,157.44,36.78,3.57,0.92,784
curry powder,2,teaspoons,,13,2.23,0.57,0.56,784
coriander,2,teaspoons,ground,10.72,1.97,0.44,0.63,784
cumin,1,teaspoon,,7.87,0.92,0.37,0.46,784
red pepper flake,1/2,teaspoon,,-,-,-,-,784
vegetable stock,8,cups,,88.4,16.44,4.24,1.23,784
sherry wine,1/2,cup,,-,-,-,-,784
honey,1/2,cup,,-,-,-,-,784
coconut milk,2,cans,,1655.17,39.86,16.47,171.56,784
cilantro,3,tablespoons,chopped,0.69,0.11,0.06,0.01,784
salt pepper,,,,-,-,-,-,784
banana,6,,,1201.5,308.34,14.71,4.45,785
orange juice,1,cup,,111.6,25.79,1.73,0.49,785
coconut,1/2,cup,grated,193.8,22.03,1.33,11.89,785
breadcrumb,1/2,cup,,-,-,-,-,785
nutmeg,1/4,teaspoon,,2.88,0.27,0.03,0.19,785
cinnamon,1/4,teaspoon,,-,-,-,-,785
sugar,1/4,teaspoon,,4.58,1.14,0,0,785
mung bean,250,g,,75,14.85,7.6,0.45,786
water,500,,,0,0,0,0,786
pandan leaf,2,,shredded,-,-,-,-,786
palm sugar,100,,shaved,-,-,-,-,786
flour,1,tablespoon,diluted,22.56,1.65,1.96,1.07,786
salt,1,teaspoon,,-,-,-,-,786
vanilla essence,1/2,teaspoon,,-,-,-,-,786
coconut milk,150,,,82800,1994.4,824.4,8582.4,786
egg white,6,,,102.96,1.44,21.58,0.33,787
egg yolk,15,,,821.1,9.15,40.44,67.67,787
icing sugar,250,,,-,-,-,-,787
vanilla extract,1,teaspoon,,12.09,0.53,0,0,787
butter,390,,unsalted,33345,1532.11,1041.88,2808,787
purpose flour,120,g,,106.8,0,23.76,0.6,787
baking powder,1/2,teaspoon,,1.21,0.63,0,0,787
cinnamon,2,teaspoons,ground,-,-,-,-,787
nutmeg,1/2,teaspoon,ground,5.77,0.54,0.06,0.39,787
ginger,1/4,teaspoon,ground,0.4,0.08,0,0,787
cardamom,1/4,teaspoon,ground,1.55,0.34,0.05,0.03,787
garlic clove,3,,,-,-,-,-,788
oil,4,tablespoons,,448.51,0,0.14,50.93,788
soya sauce,2 -4,tablespoons,,-,-,-,-,788
ginger,1,tablespoon,chopped,4.8,1.06,0.1,0.04,788
coconut milk,2,tablespoons,,69,1.66,0.68,7.15,788
peanut,2,tablespoons,roasted chrushed,103.47,2.94,4.7,8.98,788
lemon juice,2,teaspoons,,2.23,0.7,0.03,0.02,788
sugar,1/2,teaspoon,,9.17,2.29,0,0,788
chili,1/2,teaspoon,ground,0.62,0.14,0.03,0,788
peanut,2,tablespoons,roasted chrushed,103.47,2.94,4.7,8.98,788
coconut oil,1/2,cup,,972.28,0,0,107.97,789
palm sugar,2/3,cup,,-,-,-,-,789
turbinado sugar,1/3,cup,,268.66,67.19,0,0,789
egg,1,,,71.5,0.36,6.28,4.75,789
flour,1 1/4,cups,,722.85,158.25,11.75,2.8,789
baking soda,1/2,teaspoon,,0,0,0,0,789
dark chocolate,2/3,cup,,-,-,-,-,789
cashew,1/3,cup,,-,-,-,-,789
egg noodle,227,g,,871.68,161.78,32.14,10.07,790
shallot,1,,chopped,115.2,26.88,4,0.16,790
candlenut,3,,,2.67,0,0.59,0.01,790
garlic clove,2,,crushed chopped,2.67,0,0.59,0.01,790
green onion,3,stalks,chopped,9.72,2.06,0.34,0.16,790
chinese cabbage,5,cups,shredded,45.5,7.63,5.25,0.7,790
carrot,2,,,50.02,11.68,1.13,0.29,790
lime,1,,,-,-,-,-,790
curry paste,1,tablespoon,,2.67,0,0.59,0.01,790
indonesian soy sauce,2,tablespoons,sweet,2.67,0,0.59,0.01,790
black peppercorn,1/2,teaspoon,,2.67,0,0.59,0.01,790
salt,1/2,teaspoon,,-,-,-,-,790
black peppercorn,,,ground,2.67,0,0.59,0.01,790
vegetable oil,2,tablespoons,,234.46,0,0,27.2,790
coriander leaf,,,chopped,-,-,-,-,790
chicken,1,,,-,-,-,-,791
shallot,4,ounces,,81.64,19.05,2.83,0.11,791
garlic clove,5,,,-,-,-,-,791
turmeric,1,ounce,,88.45,19.03,2.74,0.92,791
coconut milk,4,ounces,,260.81,6.28,2.59,27.03,791
lime juice,2,tablespoons,,7.56,2.54,0.12,0.02,791
salt,1 1/2,1/2,,-,-,-,-,791
sugar,2,teaspoons,,36.7,9.18,0,0,791
udon noodle,1/2,,,12.6,0,2.8,0.07,792
peanut oil vegetable,2,tablespoons,,12.6,0,2.8,0.07,792
onion,1,,quartered sliced,-,-,-,-,792
garlic clove,3,,minced,13.41,2.97,0.57,0.04,792
ginger,1,teaspoon,grated ground,1.6,0.35,0.03,0.01,792
mung bean sprout,1/2,lb,,12.6,0,2.8,0.07,792
snow pea,1 - 1 1/2,cup,trimmed,12.6,0,2.8,0.07,792
soy sauce,2,tablespoons,,16.96,1.57,2.6,0.18,792
red pepper flake,,,,12.6,0,2.8,0.07,792
peanut,,,roasted,-,-,-,-,792
sugar,1 1/4,cups,,1007.47,251.99,0,0,793
water,1/2,cup,,0,0,0,0,793
soy sauce,1,jar,reduced sodium,-,-,-,-,793
star anise,1,,,-,-,-,-,793
garlic clove,1,,crushed,-,-,-,-,793
pork,250,,diced,426384,0,15773.94,39769.38,794
egg noodle,500,g,,1920,356.35,70.8,22.2,794
bean sprout,250,,,-,-,-,-,794
bok choy,1,,sliced,-,-,-,-,794
celery,1,,sliced,16.16,2.99,0.69,0.17,794
cauliflower,1,,,-,-,-,-,794
leek,4,,sliced,217.16,50.37,5.34,1.06,794
ginger,1 1/4,1/4,chopped,2,0.44,0.04,0.01,794
garlic clove,4,,chopped,-,-,-,-,794
onion,6,,chopped,384,89.66,10.56,0.96,794
shrimp paste,1/4,teaspoon,,-,-,-,-,794
chili paste,1/2,teaspoon,spiced,-,-,-,-,794
soy sauce,1,teaspoon,,2.8,0.26,0.43,0.03,794
salt,,,,-,-,-,-,794
black pepper,1,teaspoon,,5.77,1.47,0.23,0.07,794
peanut oil,,,,-,-,-,-,794
egg,2,,cut,143,0.72,12.56,9.51,794
onion,4,,chopped,384,89.66,10.56,0.96,794
lemon,2,,spiced sliced,2.56,0.82,0.09,0.02,794
shrimp cracker,,,,-,-,-,-,794
vegetable oil,1,tablespoon,,117.23,0,0,13.6,795
vegetable oil,1,teaspoon,,117.23,0,0,13.6,795
green cabbage,2,tablespoons,shredded,2.78,0.64,0.14,0.01,795
onion,1,tablespoon,chopped,4,0.93,0.11,0.01,795
brown rice,1,cup,cooked,573.54,120.83,11.42,4.39,795
peanut,1/3,cup,chopped,275.94,7.84,12.55,23.96,795
raisin,1/3,cup,,166.1,43.73,1.86,0.25,795
soy sauce,1 1/2,1/2,,12.72,1.18,1.95,0.13,795
curry powder,1,teaspoon,,6.5,1.11,0.28,0.28,795
honey,1/2,teaspoon,,-,-,-,-,795
wheat tortilla,2,,,-,-,-,-,795
romaine lettuce,,,,-,-,-,-,795
pineapple,1,,peeled,82.5,21.64,0.89,0.19,796
oil,1,tablespoon,,112.12,0,0.03,12.73,796
onion,1,,peeled chopped,28,6.53,0.77,0.07,796
garlic clove,1,,chopped,-,-,-,-,796
cinnamon,1,piece,,-,-,-,-,796
clove,3,cloves,,-,-,-,-,796
cardamom,2,,crushed,12.44,2.73,0.43,0.26,796
coriander,3,teaspoons,ground,16.09,2.96,0.66,0.95,796
cumin,1,teaspoon,ground,7.87,0.92,0.37,0.46,796
turmeric,1,teaspoon,ground,9.36,2.01,0.29,0.09,796
chili powder,1/2,,,3.8,0.67,0.18,0.19,796
salt,1,teaspoon,,-,-,-,-,796
coconut milk,1,cup,,552,13.29,5.49,57.21,796
brown sugar,1,teaspoon,,11.4,2.94,0,0,796
shallot,1/2,,,57.6,13.44,2,0.08,797
yellow potato,8,,,4315.74,850.09,72.17,67.09,797
nutmeg,2,tablespoons,,73.5,6.9,0.81,5.08,797
egg,2,,,143,0.72,12.56,9.51,797
beef,300,,minced,159120.36,0,31375.27,3658.4,797
vegetable oil,1,cup,,1879.16,0,0,218,797
salt,1,tablespoon,,-,-,-,-,797
pepper,1,pinch,,0.36,0.09,0.01,0,797
,3/4,kg,,5.34,0,1.18,0.03,798
vegetable oil,3,tablespoons,,351.69,0,0,40.8,798
bamboo skewer,,,,5.34,0,1.18,0.03,798
soy sauce,1,tablespoon,,8.48,0.78,1.3,0.09,798
margarine,1,tablespoon,,101.37,0.12,0.12,11.35,798
shallot,50,,sliced,5760,1344,200,8,798
garlic,5,cloves,,22.35,4.95,0.95,0.07,798
peppercorn,1/2,teaspoon,,12.59,0.07,0.02,1.37,798
red chilies,4,,,-,-,-,-,798
coriander seed,1/2,teaspoon,,2.68,0.49,0.11,0.15,798
fennel seed,5,,,34.5,5.22,1.58,1.48,798
candlenut,6,,,5.34,0,1.18,0.03,798
turmeric,1,piece,,-,-,-,-,798
lemongrass,1/2,,,-,-,-,-,798
salt,,,,-,-,-,-,798
sugar,1,pinch,,1.14,0.28,0,0,798
eggplant,1,,cut,-,-,-,-,799
garlic clove,1,,minced,4.47,0.99,0.19,0.01,799
shallot,1,,minced,115.2,26.88,4,0.16,799
red chili pepper,1,,chopped,-,-,-,-,799
sesame oil,2,teaspoons,,79.56,0,0,9,799
peanut,1/4,cup,roasted ground,206.95,5.88,9.41,17.97,799
soy sauce,2,teaspoons,,5.61,0.52,0.86,0.06,799
sugar,1,teaspoon,,18.35,4.59,0,0,799
lemon juice,2,teaspoons,,2.23,0.7,0.03,0.02,799
vegetable oil,,,,-,-,-,-,799
lime juice,1/4,cup,squeezed,15.12,5.09,0.25,0.04,800
garlic clove,2,,minced,8.94,1.98,0.38,0.03,800
lime peel,1,teaspoon,grated,-,-,-,-,800
ginger,1/2,teaspoon,ground,0.8,0.17,0.01,0,800
red pepper,1/2,teaspoon,ground,0.62,0.13,0.02,0,800
chicken breast,4,,boneless cut,3120.71,0,378.29,167.82,800
cream cheese,8,ounces,cubed,669.06,7.93,16.1,64.86,800
milk,1/2,cup,,74.42,5.83,3.84,3.98,800
peanut butter,3,tablespoons,,282.72,10.35,11.54,23.97,800
honey,2,tablespoons,,-,-,-,-,800
cardamom,1/4,teaspoon,ground,1.55,0.34,0.05,0.03,800
red pepper,1/8,teaspoon,ground,0.62,0.13,0.02,0,800
brown rice,2,cups,,1357.9,282.12,27.89,11.84,801
peanut oil,1/3,cup,,636.48,0,0,72,801
sesame oil,3,tablespoons,,360.67,0,0,40.8,801
orange juice,1/2,cup,,55.8,12.89,0.86,0.24,801
garlic clove,1,,crushed,201.73,0,44.88,1.13,801
red pepper flake,1/2,teaspoon,crushed,201.73,0,44.88,1.13,801
tamari,2,tablespoons,,21.6,2,3.78,0.03,801
salt,1,teaspoon,,-,-,-,-,801
honey,1 -2,tablespoon,,-,-,-,-,801
cider vinegar,2,tablespoons,,6.25,0.27,0,0,801
pineapple,1,cup,chopped,82.5,21.64,0.89,0.19,801
scallion,2 -3,,minced,0,0,0,0,801
celery,1,stalk,minced,10.24,1.9,0.44,0.1,801
mung bean sprout,1/2,lb,,201.73,0,44.88,1.13,801
raisin,1/2,cup,,249.15,65.6,2.79,0.37,801
peanut,1/2,cup,chopped,413.91,11.77,18.83,35.94,801
cashew,1/2,cup,toasted,-,-,-,-,801
sesame seed,2,tablespoons,toasted,171,7.85,5.34,14.4,801
red bell pepper,1/2,cup,,201.73,0,44.88,1.13,801
green bell pepper,1/2,cup,,201.73,0,44.88,1.13,801
water chestnut,1,cup,sliced,201.73,0,44.88,1.13,801
snow pea,1,cup,,201.73,0,44.88,1.13,801
cornstarch,1,tablespoon,,30.48,7.3,0.02,0,802
vegetable broth,3/4,cup,,121.77,19.74,4.46,2.87,802
rice vinegar,3,tablespoons,,-,-,-,-,802
sugar,3,tablespoons,,165.18,41.31,0,0,802
ketchup,1,tablespoon,,-,-,-,-,802
soy sauce,2,tablespoons,,16.96,1.57,2.6,0.18,802
ginger,1/2,teaspoon,ground,0.8,0.17,0.01,0,802
cayenne pepper,1/4,teaspoon,,1.43,0.25,0.05,0.07,802
olive oil,2,tablespoons,,238.68,0,0,27,802
garlic clove,3,,crushed,-,-,-,-,802
onion,1,,sliced,44,10.27,1.21,0.11,802
carrot,2,,cut,50.02,11.68,1.13,0.29,802
green bell pepper,1,,sliced,-,-,-,-,802
celery,1,stalk,chopped,10.24,1.9,0.44,0.1,802
mushroom,1/2,cup,sliced,-,-,-,-,802
tofu,1,,firm,40.82,0.78,4.89,2.47,802
beef brisket,500,,,351540,0,46992.96,16715.16,803
water,10,,,0,0,0,0,803
cooking oil,4,tablespoons,,-,-,-,-,803
garlic clove,5,,,-,-,-,-,803
beef broth,2,,,33.6,0.19,5.47,1.05,803
radish,200,,,3712,788.8,157.76,23.2,803
lemongrass,1,stalk,,-,-,-,-,803
ginger,2,,,3.2,0.71,0.07,0.03,803
salt,1,teaspoon,,-,-,-,-,803
black pepper,1/2,teaspoon,,2.88,0.73,0.11,0.03,803
soybean,3,tablespoons,,70.56,5.3,6.21,3.26,803
red onion,5,,,-,-,-,-,803
celery leaf,2,,,-,-,-,-,803
cayenne,3,,,17.17,3.05,0.64,0.93,803
grain rice,2,cups,,-,-,-,-,804
salt,,,,-,-,-,-,804
tamarind paste,2,tablespoons,,-,-,-,-,804
vegetable oil,2,tablespoons,,234.46,0,0,27.2,804
shallot,8,,chopped,921.6,215.04,32,1.28,804
garlic,3,cloves,crushed,13.41,2.97,0.57,0.04,804
ginger,1/2,inch,grated,-,-,-,-,804
curry powder,2,teaspoons,,13,2.23,0.57,0.56,804
hot red pepper flake,1/4,teaspoon,,-,-,-,-,804
turmeric,1/4,teaspoon,,2.34,0.5,0.07,0.02,804
cabbage,1/2,,sliced,-,-,-,-,804
tomato,2,,peeled seeded diced,56.58,12.54,2.95,0.49,804
soy sauce,3,tablespoons,,25.44,2.36,3.9,0.27,804
dark brown sugar,1,tablespoon,,-,-,-,-,804
tomato,3,,chopped,120.62,26.06,5.89,1.34,804
red pepper,1 1/4,1/4,cored seeded diced,1.56,0.34,0.07,0.01,804
cucumber,1/2,,diced,7.98,1.43,0.39,0.1,804
celery,1,stalk,diced,10.24,1.9,0.44,0.1,804
egg,2,,,143,0.72,12.56,9.51,804
salt pepper,,,,-,-,-,-,804
butter,2,tablespoons,,171,7.85,5.34,14.4,804
flour,1/2,cup,,289.14,63.3,4.7,1.12,805
sugar,1/4,cup,,201.49,50.39,0,0,805
yeast,1/2,teaspoon,,5.55,0.61,0.71,0.02,805
salt,1/2,teaspoon,,-,-,-,-,805
egg,2,,,143,0.72,12.56,9.51,805
baking powder,1/2,teaspoon,,1.21,0.63,0,0,805
water,1/4,cup,,0,0,0,0,805
butter,2,tablespoons,,171,7.85,5.34,14.4,805
chocolate,1/4,cup,,35.23,5.75,1.25,0.87,805
peanut,1/4,cup,,206.95,5.88,9.41,17.97,805
milk,1/4,cup,sweetened condensed,138,3.32,1.37,14.3,805
garlic clove,2,,,-,-,-,-,806
shallot,2,,,230.4,53.76,8,0.32,806
chili pepper,2,,,2.5,0.59,0.12,0.01,806
salt,1,teaspoon,,-,-,-,-,806
palm sugar,2,tablespoons,,-,-,-,-,806
peanut,250,,roasted,206955,5887.45,9417,17972.6,806
water,2,teaspoons,,0,0,0,0,806
coconut milk,250,,,138000,3324,1374,14304,806
cucumber,350,,sliced,-,-,-,-,806
carrot,400,,cut steamed,20992,4904.96,476.16,122.88,806
bean,200,g,cut steamed,58,8.2,8.4,1,806
bean sprout,300,,blanched,-,-,-,-,806
potato,350,,peeled cubed steamed,-,-,-,-,806
egg,4,,hardboiled diced,286,1.44,25.12,19.02,806
plain yogurt,6,ounces,,112.26,16.48,4.49,2.99,807
rice milk,1/2,cup,,-,-,-,-,807
caramel sauce,2,tablespoons,,-,-,-,-,807
date,1,tablespoon,,25.9,6.89,0.22,0.03,807
cinnamon,1/4,teaspoon,,-,-,-,-,807
nutmeg,1,dash,,-,-,-,-,807
jasmine rice,2,cups,,-,-,-,-,808
onion,2,onions,,-,-,-,-,808
garlic clove,3,,minced,13.41,2.97,0.57,0.04,808
celery,2 -3,,,0,0,0,0,808
chicken breast turkey bacon,2,,cooked chopped chopped,-,-,-,-,808
tomato ketchup,1,tablespoon,,-,-,-,-,808
shrimp paste,1/2,teaspoon,,-,-,-,-,808
salt pepper,,,,-,-,-,-,808
ketjap manis,1/4,cup,,-,-,-,-,808
sambal oelek,1,teaspoon,,-,-,-,-,808
stewing beef,1,lb,cut lean,403.46,0,89.76,2.26,809
onion,2,,chopped,88,20.54,2.42,0.22,809
sambal oelek,2,tablespoons,,403.46,0,89.76,2.26,809
bird eye chile,3 -4,,,403.46,0,89.76,2.26,809
garlic,4,cloves,,17.88,3.96,0.76,0.06,809
shrimp paste,1,teaspoon,,403.46,0,89.76,2.26,809
kaffir lime leaf,4,,,403.46,0,89.76,2.26,809
bay leaf,3,,,-,-,-,-,809
ketjap manis,1/2,cup,,403.46,0,89.76,2.26,809
oil,1/3,cup,,598.6,0,0.19,67.97,809
vinegar,,,,-,-,-,-,809
salt,,,,-,-,-,-,809
sugar,,,,-,-,-,-,809
brown rice,4,cups,cooked,2294.16,483.35,45.69,17.56,810
peanut oil,1/3,cup,,636.48,0,0,72,810
sesame oil,3,tablespoons,,360.67,0,0,40.8,810
orange juice,1/2,cup,,55.8,12.89,0.86,0.24,810
garlic clove,1,,,-,-,-,-,810
cayenne pepper,1/4,teaspoon,,1.43,0.25,0.05,0.07,810
soy sauce,2,tablespoons,,16.96,1.57,2.6,0.18,810
salt,1,teaspoon,,-,-,-,-,810
apple cider vinegar,2,tablespoons,,-,-,-,-,810
pineapple,1,cup,canned crushed,82.5,21.64,0.89,0.19,810
